FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
165000,AB,DP3-010-91,1991,5,29,0.1,N,Crown, 
165001,AB,DS6-031-87,1987,7,12,9,N,Surface, 
165002,AB,DS6-041-87,1987,7,30,0.5,N,Surface, 
165003,AB,DS6-042-87,1987,7,30,0.1,N,Surface, 
165004,AB,DS6-043-87,1987,7,30,1,N,Surface, 
165005,AB,DS6-045-87,1987,7,30,0.3,N,Surface, 
165006,AB,DS6-046-87,1987,7,30,0.1,N,Surface, 
165007,AB,DA2-006-89,1989,7,16,0.2,N,Surface, 
165008,AB,DA2-010-89,1989,7,26,1,N,Crown, 
165009,AB,DA2-013-89,1989,8,11,0.5,N,Surface, 
165010,AB,DA2-014-89,1989,8,11,0.5,N,Surface, 
165011,AB,DA2-015-89,1989,8,12,0.1,N,Surface, 
165012,AB,DA2-016-89,1989,8,12,0.1,N,Surface, 
165013,AB,DA2-017-89,1989,8,12,0.1,N,Surface, 
165014,AB,DA2-018-89,1989,8,12,0.2,N,Surface, 
165015,AB,DA2-019-89,1989,8,12,0.1,N,Surface, 
165016,AB,DA2-020-89,1989,8,12,0.1,N,Ground, 
165017,AB,DA2-023-89,1989,8,12,0.1,N,Surface, 
165018,AB,DA2-024-89,1989,8,14,0.1,N,Surface, 
165019,AB,DA2-025-89,1988,8,14,0.1,N,Surface, 
165020,AB,DA2-026-89,1989,8,14,0.5,N,Crown, 
165021,AB,DA2-028-89,1989,8,13,0.1,N,Surface, 
165022,AB,DS6-011-89,1989,7,8,0.1,N,Crown, 
165023,AB,DS6-013-89,1989,8,11,7,N,Crown, 
165024,AB,DA2-001-90,1990,6,9,0.1,N,Surface, 
165025,AB,DA2-011-90,1990,7,12,0.2,N,Surface, 
165026,AB,DA2-023-90,1990,7,31,0.1,N,Ground, 
165027,AB,DA2-034-90,1990,8,6,0.1,N,Surface, 
165028,AB,DA2-049-90,1990,8,6,0.3,N,Surface, 
165029,AB,DA2-060-90,1990,8,12,0.1,N,Surface, 
165030,AB,DA2-063-90,1990,8,12,0.1,N,Surface, 
165031,AB,DA2-064-90,1990,8,12,0.1,N,Surface, 
165032,AB,DA2-065-90,1990,8,12,0.6,N,Surface, 
165033,AB,DF1-087-90,1990,8,12,0.1,N,Surface, 
165034,AB,DS6-038-90,1990,7,31,1.2,N,Surface, 
165035,AB,DS6-062-90,1990,8,6,0.1,N,Surface, 
165036,AB,DA2-008-91,1991,7,11,0.5,N,Surface, 
165037,AB,DA2-016-91,1991,8,15,1,N,Surface, 
165038,AB,DA2-019-91,1991,8,15,0.1,N,Surface, 
165039,AB,DA2-023-91,1991,8,15,0.1,N,Ground, 
165040,AB,DA2-003-89,1989,7,6,2,N,Surface, 
165041,AB,DA2-005-89,1989,7,16,0.3,N,Surface, 
165042,AB,DA2-007-89,1989,7,16,0.1,N,Surface, 
165043,AB,DA2-009-89,1989,7,26,1,N,Surface, 
165044,AB,DA2-012-89,1989,8,11,0.1,N,Ground, 
165045,AB,DA2-021-89,1989,8,12,4,N,Surface, 
165046,AB,DA2-022-89,1989,8,12,0.1,N,Ground, 
165047,AB,DA2-002-90,1990,6,20,1,N,Surface, 
165048,AB,DA2-005-90,1990,7,9,0.1,N,Surface, 
165049,AB,DA2-006-90,1990,7,9,0.1,N,Surface, 
165050,AB,DA2-010-90,1990,7,9,0.1,N,Surface, 
165051,AB,DA2-015-90,1990,7,9,1,N,Surface, 
165052,AB,DA2-019-90,1990,7,26,84,N,Crown, 
165053,AB,DA2-029-90,1990,8,3,0.3,N,Ground, 
165054,AB,DA2-037-90,1990,8,6,0.1,N,Surface, 
165055,AB,DA2-026-91,1991,8,19,0.1,N,Surface, 
165056,AB,DF1-021-87,1987,5,24,0.1,N,Crown, 
165057,AB,DF1-025-87,1987,5,26,0.1,N,Crown, 
165058,AB,DF1-032-87,1987,6,20,2.8,N,Crown, 
165059,AB,DP1-009-87,1987,5,26,0.1,N,Surface, 
165060,AB,DP1-010-87,1987,5,28,0.1,N,Surface, 
165061,AB,DP1-011-87,1987,6,9,95,N,Surface, 
165062,AB,DP1-026-87,1987,11,15,0.1,H,Ground, 
