FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1754,BC,51.3432,-118.8154,2023,8,21,2023-08-21,0.009,N,Fire,MON
1755,BC,50.0090999999999,-120.7256,2023,8,7,2023-08-07,0.009,N,Fire,FUL
1756,BC,54.95,-129.2306,2023,7,7,2023-07-07,0.009,N,Fire,MON
1757,BC,50.7573,-118.6311,2023,8,25,2023-08-25,0.009,N,Fire,FUL
1758,BC,49.5403,-115.5136,2023,8,7,2023-08-07,0.01,N,Fire,FUL
1759,BC,56.0668,-120.962,2023,7,16,2023-07-16,0.009,N,Fire,FUL
1760,BC,52.8374,-120.4661,2023,5,20,2023-05-20,241.699999999999,N,Fire,MON
1761,BC,52.5339,-121.3695,2023,7,19,2023-07-19,2.4,N,Fire,FUL
1762,BC,53.942,-126.0732,2023,5,27,2023-05-27,82.0,N,Fire,FUL
1763,BC,58.7047,-122.5228,2023,8,31,2023-08-31,0.009,N,Fire,FUL
1764,BC,53.7381,-124.7409,2023,6,30,2023-06-30,0.02,N,Fire,FUL
1765,BC,55.722,-121.3569,2023,6,24,2023-06-24,0.63,N,Fire,FUL
1766,BC,53.6544999999999,-122.807,2023,7,22,2023-07-22,0.009,N,Fire,FUL
1767,BC,54.5016,-126.5229,2023,7,18,2023-07-18,0.1,N,Fire,FUL
1768,BC,58.9958999999999,-121.2754,2023,6,28,2023-06-28,0.1,N,Fire,FUL
1769,BC,50.5908,-117.3826,2023,7,21,2023-07-21,0.009,N,Fire,FUL
1770,BC,50.8965999999999,-118.758,2023,5,18,2023-05-18,0.009,N,Fire,FUL
1771,BC,49.6948999999999,-119.6721,2023,7,21,2023-07-21,0.009,N,Fire,FUL
1772,BC,53.6302,-125.7971,2023,9,25,2023-09-25,0.1,N,Fire,FUL
1773,BC,52.9709999999999,-124.629099999999,2023,7,8,2023-07-08,376.0,N,Fire,FUL
1774,BC,50.3911,-126.0356,2023,8,28,2023-08-28,0.009,N,Fire,FUL
1775,BC,49.3389999999999,-117.3989,2023,8,9,2023-08-09,0.009,N,Fire,FUL
