FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
146585,BC,55.4594999999999,-120.902199999999,2016,6,28,2016-06-28,0.1,N,Fire, 
146586,BC,54.5814999999999,-120.2159,2016,7,23,2016-07-23,0.04,N,Fire, 
146587,BC,55.6548,-120.560199999999,2017,5,5,2017-05-05,0.009,H,Fire, 
146607,BC,54.0955,-124.6061,2014,6,15,2014-06-15,0.009,H,Fire, 
146608,BC,54.2787999999999,-124.8349,2014,6,16,2014-06-16,28.0,H,Fire, 
146609,BC,54.1388,-124.7172,2014,7,29,2014-07-29,0.009,N,Fire, 
146610,BC,54.1993999999999,-124.5477,2014,8,6,2014-08-06,0.009,N,Fire, 
146611,BC,54.2154999999999,-124.6692,2014,8,2,2014-08-02,0.009,N,Fire, 
146612,BC,54.7518,-124.6322,2014,5,16,2014-05-16,0.009,H,Fire, 
146613,BC,54.4958,-124.908,2014,7,2,2014-07-02,0.2,N,Fire, 
146614,BC,55.0812999999999,-124.6331,2014,7,24,2014-07-24,0.009,H,Fire, 
146615,BC,54.5386,-124.7366,2014,8,2,2014-08-02,0.1,N,Fire, 
146616,BC,55.1983999999999,-124.3215,2014,8,16,2014-08-16,85.0,N,Fire, 
146617,BC,55.2066999999999,-124.302499999999,2014,8,24,2014-08-24,0.009,N,Fire, 
146618,BC,54.3744999999999,-125.3212,2014,9,4,2014-09-04,0.1,H,Fire, 
146619,BC,54.686,-125.0882,2014,9,24,2014-09-24,0.009,H,Fire, 
146620,BC,54.7481999999999,-125.5785,2014,8,5,2014-08-05,0.009,N,Fire, 
146621,BC,54.7188,-125.7552,2014,8,5,2014-08-05,0.009,N,Fire, 
146622,BC,54.9294999999999,-126.6665,2014,5,11,2014-05-11,0.1,N,Fire, 
146623,BC,54.2049999999999,-125.3361,2015,5,15,2015-05-15,4.0,H,Fire, 
146624,BC,54.4945999999999,-125.761399999999,2015,7,2,2015-07-02,0.009,H,Fire, 
146625,BC,54.7293999999999,-125.8842,2014,8,15,2014-08-15,0.009,N,Fire, 
146626,BC,55.0683999999999,-125.903499999999,2014,8,15,2014-08-15,0.009,N,Fire, 
146627,BC,55.0298,-125.914199999999,2014,8,29,2014-08-29,0.009,N,Fire, 
146628,BC,55.4042,-126.7567,2014,8,21,2014-08-21,0.009,N,Fire, 
146629,BC,54.3389,-125.769,2013,8,2,2013-08-02,0.3,N,Fire, 
146630,BC,54.4564,-125.1743,2013,6,23,2013-06-23,0.02,N,Fire, 
146631,BC,54.5,-125.083299999999,2013,8,6,2013-08-06,0.009,H,Fire, 
146632,BC,54.2458999999999,-125.6112,2013,8,1,2013-08-01,0.02,N,Fire, 
146633,BC,54.2137,-125.166,2013,8,11,2013-08-11,0.009,N,Fire, 
146634,BC,54.4232999999999,-125.7436,2013,9,2,2013-09-02,5.9,H,Fire, 
146635,BC,54.5103999999999,-125.4231,2013,9,4,2013-09-04,6.0,N,Fire, 
146636,BC,55.0433,-126.0094,2013,8,1,2013-08-01,0.5,N,Fire, 
146637,BC,54.7584,-126.2479,2013,8,5,2013-08-05,0.009,H,Fire, 
146638,BC,54.5959,-126.476299999999,2013,8,12,2013-08-12,0.009,N,Fire, 
146639,BC,54.9669999999999,-126.6087,2013,8,13,2013-08-13,0.009,N,Fire, 
146640,BC,55.5974999999999,-126.7714,2013,8,1,2013-08-01,0.009,N,Fire, 
146641,BC,55.6424,-126.7766,2013,8,12,2013-08-12,0.009,N,Fire, 
146642,BC,55.6580999999999,-126.8442,2013,8,1,2013-08-01,0.009,N,Fire, 
146643,BC,54.2800999999999,-124.8334,2013,8,5,2013-08-05,281.899999999999,H,Fire, 
146644,BC,54.5722,-124.5215,2013,5,3,2013-05-03,0.009,H,Fire, 
146645,BC,54.597,-124.5969,2013,5,4,2013-05-04,2.4,H,Fire, 
146646,BC,54.5974999999999,-125.0801,2013,5,6,2013-05-06,2.5,H,Fire, 
146647,BC,54.567,-124.4958,2013,5,9,2013-05-09,6.1,H,Fire, 
146648,BC,55.0371,-128.2897,2014,4,1,2014-04-01,0.009,H,Fire, 
146649,BC,55.2779999999999,-128.069099999999,2014,4,12,2014-04-12,0.2,H,Fire, 
146650,BC,55.2451,-128.050099999999,2014,4,14,2014-04-14,0.5,H,Fire, 
146651,BC,55.2477,-128.0517,2014,4,14,2014-04-14,0.9,H,Fire, 
